minute,second,duration,play_pattern,position,shot_technique,shot_body_part,shot_type,shot_first_time,shot_open_goal,shot_one_on_one,shot_aerial_won,under_pressure,start_x,start_y,end_x,end_y,shot_outcome,shot_key_pass
2,29,1.075902,4,24.0,91.0,40.0,87.0,1,0,0,0,0,111.5,52.9,120.0,34.1,0.0,1
5,39,0.807592,1,6.0,95.0,38.0,87.0,1,0,0,0,0,113.9,26.4,120.0,35.5,0.0,1
15,29,0.979318,8,24.0,93.0,38.0,87.0,0,0,0,0,0,93.7,34.7,117.5,38.0,0.0,0
16,20,0.312149,1,23.0,93.0,37.0,87.0,0,0,0,1,1,109.2,39.1,120.0,32.5,0.0,1
18,16,0.937618,2,22.0,93.0,40.0,87.0,0,0,0,0,0,107.8,24.7,120.0,44.4,0.0,0
30,42,2.555973,3,16.0,91.0,38.0,87.0,1,0,0,0,0,108.6,27.8,120.0,59.5,0.0,1
35,5,1.166493,2,11.0,93.0,37.0,87.0,0,0,0,0,0,112.5,41.7,120.0,32.8,0.0,1
37,28,1.228019,3,24.0,93.0,38.0,62.0,0,0,0,0,0,96.5,52.6,120.0,43.2,0.0,0
37,31,1.162543,3,3.0,93.0,37.0,87.0,0,0,0,1,1,112.4,41.0,120.0,37.4,0.0,0
38,28,0.392553,1,16.0,93.0,40.0,87.0,1,0,0,0,0,102.5,30.1,112.5,37.2,0.0,1
40,35,1.936833,7,22.0,92.0,40.0,87.0,1,0,0,0,0,110.0,27.7,119.3,34.6,0.0,1
43,31,1.204291,3,16.0,93.0,40.0,87.0,1,0,0,0,0,106.1,32.6,120.0,49.2,0.0,1
47,39,0.666677,1,6.0,93.0,38.0,87.0,0,0,1,0,0,116.5,31.2,117.6,33.6,0.0,1
51,7,0.206846,4,13.0,91.0,38.0,87.0,1,0,0,0,0,105.6,23.9,109.9,28.8,0.0,0
53,54,0.752881,8,23.0,93.0,40.0,87.0,0,0,0,0,0,110.3,25.3,114.8,32.5,0.0,0
54,56,0.10945,4,15.0,93.0,40.0,87.0,0,0,0,0,0,94.9,26.3,98.5,28.6,0.0,1
55,34,0.171271,4,6.0,93.0,38.0,87.0,1,0,0,0,0,106.7,26.5,108.1,28.1,0.0,1
57,21,1.594578,2,17.0,93.0,38.0,87.0,0,0,0,0,0,100.0,57.4,120.0,37.3,0.0,1
60,36,0.087645,4,15.0,93.0,40.0,87.0,1,0,0,0,0,100.0,27.6,101.5,28.5,0.0,0
63,12,1.807257,3,17.0,93.0,38.0,62.0,0,0,0,0,0,97.8,45.4,120.0,42.5,1.0,0
65,43,1.698347,1,17.0,93.0,38.0,87.0,0,0,0,0,0,106.3,47.0,120.0,35.9,0.0,1
68,33,1.236514,1,13.0,91.0,40.0,87.0,0,0,0,0,0,88.5,41.2,101.5,36.6,0.0,0
72,27,0.338676,4,23.0,93.0,38.0,87.0,1,0,0,0,0,108.4,30.2,115.2,35.2,0.0,0
78,17,0.37443,3,16.0,95.0,40.0,87.0,1,0,0,0,0,114.5,32.8,120.0,32.9,0.0,1
81,31,0.34631,7,21.0,93.0,40.0,87.0,0,0,1,0,0,113.2,31.4,115.9,34.6,0.0,1
82,41,0.533926,1,21.0,93.0,40.0,87.0,0,0,0,0,0,105.3,33.4,120.0,42.9,1.0,1
89,22,0.422625,3,17.0,93.0,38.0,87.0,0,0,0,0,0,106.6,46.8,115.7,40.9,0.0,1
91,43,0.393784,1,17.0,93.0,38.0,87.0,0,0,0,0,0,111.5,36.2,120.0,36.9,1.0,1
4,30,0.777634,1,21.0,93.0,40.0,87.0,0,0,1,0,0,119.2,27.8,120.0,43.1,0.0,0
6,58,0.632901,3,22.0,93.0,38.0,87.0,1,0,0,0,0,105.7,21.6,119.2,37.7,0.0,0
13,42,1.068507,1,15.0,93.0,40.0,87.0,0,0,0,0,0,88.9,46.8,118.5,38.1,0.0,1
14,20,1.565862,1,21.0,93.0,40.0,87.0,0,0,0,0,0,92.0,28.6,120.0,49.9,0.0,1
21,28,1.174817,3,21.0,93.0,40.0,87.0,0,0,0,0,0,98.8,35.4,120.0,35.6,0.0,1
32,2,0.28654,1,23.0,93.0,40.0,87.0,1,0,0,0,1,112.7,31.2,114.8,33.3,0.0,1
34,8,1.022298,2,15.0,93.0,40.0,87.0,1,0,0,0,0,100.6,28.5,119.2,42.8,0.0,1
36,14,0.11217,4,23.0,91.0,40.0,87.0,1,0,0,0,1,107.2,48.6,108.0,48.2,0.0,1
42,28,1.349294,3,17.0,93.0,38.0,62.0,0,0,0,0,0,94.9,38.6,120.0,36.6,0.0,0
46,52,1.228495,7,22.0,93.0,40.0,87.0,0,0,0,0,0,105.8,21.3,120.0,47.9,0.0,1
48,14,0.862925,3,21.0,93.0,40.0,87.0,0,0,0,0,0,109.5,23.2,118.7,36.0,0.0,0
56,29,0.77996,3,21.0,91.0,40.0,87.0,1,0,0,0,0,111.9,49.0,120.0,37.0,1.0,1
69,24,1.409414,2,24.0,93.0,40.0,87.0,0,0,0,0,0,96.1,28.3,120.0,48.8,0.0,0
76,11,0.590585,4,12.0,93.0,37.0,87.0,0,0,0,0,0,112.0,41.8,118.3,40.2,0.0,1
80,21,0.939066,2,3.0,93.0,37.0,87.0,0,0,0,0,0,109.2,36.8,119.4,38.4,0.0,1
81,13,0.092235,2,3.0,93.0,37.0,87.0,0,0,0,1,1,111.5,39.1,112.4,39.2,0.0,1
88,56,0.454188,8,16.0,93.0,38.0,87.0,0,0,1,0,0,108.4,27.6,115.6,37.2,0.0,1
89,59,1.17161,1,11.0,93.0,40.0,87.0,0,0,0,0,0,91.8,50.2,120.0,30.2,0.0,1
2,1,0.337377,4,22.0,93.0,37.0,87.0,0,0,0,0,0,113.8,35.6,115.3,37.2,0.0,1
2,2,0.860098,4,24.0,95.0,40.0,87.0,1,0,0,0,0,115.4,36.6,120.0,37.8,1.0,0
15,11,0.949601,1,17.0,93.0,40.0,87.0,0,0,0,0,0,110.2,50.8,120.0,36.9,1.0,1
18,0,0.749523,4,21.0,93.0,38.0,87.0,0,0,0,0,0,110.4,23.9,118.1,35.9,0.0,1
18,25,1.03015,1,13.0,93.0,40.0,87.0,0,0,0,0,0,89.8,48.6,117.2,38.3,0.0,1
19,57,0.773253,1,24.0,93.0,40.0,87.0,0,0,0,0,0,103.2,58.6,117.1,43.6,0.0,1
20,47,0.940602,1,17.0,93.0,37.0,87.0,0,0,0,1,1,111.5,34.6,118.4,36.9,0.0,1
22,31,0.0949,1,17.0,93.0,38.0,87.0,0,0,0,0,0,95.0,35.6,97.8,36.1,0.0,1
23,34,0.138193,4,15.0,93.0,40.0,87.0,0,0,0,0,0,96.4,39.7,99.1,39.7,0.0,1
27,52,0.118628,4,2.0,93.0,40.0,87.0,1,0,0,0,0,116.9,51.9,117.9,48.9,0.0,1
28,17,1.129789,2,21.0,93.0,38.0,87.0,0,0,0,0,0,103.2,52.2,120.0,37.2,0.0,1
31,31,1.330208,3,11.0,91.0,40.0,87.0,0,0,0,0,0,101.6,36.4,118.3,41.6,0.0,0
34,46,1.481378,3,17.0,93.0,38.0,62.0,0,0,0,0,0,88.6,47.1,120.0,43.1,0.0,0
38,2,0.193243,2,3.0,93.0,37.0,87.0,0,0,0,1,1,117.4,34.1,118.4,35.7,0.0,1
38,6,0.238487,2,3.0,93.0,40.0,87.0,0,0,1,0,0,117.3,32.5,118.5,35.7,0.0,0
38,50,0.673276,1,23.0,93.0,40.0,87.0,1,0,0,0,0,114.0,35.0,120.0,36.7,1.0,1
41,51,0.283198,3,12.0,95.0,38.0,87.0,1,0,0,0,0,115.8,42.5,120.0,40.8,1.0,1
43,44,0.405378,9,15.0,93.0,40.0,87.0,0,0,0,0,0,112.8,27.9,116.9,36.4,0.0,1
44,22,1.215655,4,15.0,93.0,40.0,87.0,0,0,0,0,0,93.3,42.5,120.0,33.3,0.0,0
46,11,0.100318,9,17.0,91.0,38.0,87.0,0,0,1,0,0,117.6,49.4,119.1,43.1,0.0,1
47,11,1.327557,4,6.0,93.0,38.0,87.0,0,0,0,0,0,90.9,30.6,120.0,34.6,0.0,1
47,42,0.617564,7,21.0,93.0,38.0,87.0,1,0,0,0,0,108.9,29.3,120.0,43.6,1.0,0
50,15,0.183333,6,23.0,93.0,40.0,87.0,0,0,1,0,0,112.3,28.0,115.2,32.5,0.0,1
51,11,0.852414,2,13.0,91.0,40.0,87.0,1,0,0,0,0,108.3,55.4,120.0,36.8,1.0,1
53,34,1.110128,4,2.0,91.0,38.0,87.0,1,0,0,0,0,110.7,44.9,120.0,45.6,0.0,0
56,27,0.229933,3,15.0,93.0,40.0,87.0,0,0,1,0,0,106.9,35.2,113.7,37.1,0.0,1
59,2,0.001984,1,15.0,93.0,40.0,87.0,0,0,0,0,0,96.6,33.2,97.8,33.7,0.0,1
59,42,0.550748,2,3.0,93.0,37.0,87.0,0,0,0,1,1,113.9,37.5,120.0,34.9,0.0,1
60,40,0.886094,6,17.0,93.0,38.0,87.0,0,0,0,0,0,103.4,35.2,120.0,43.4,1.0,1
63,46,1.169275,3,13.0,93.0,40.0,87.0,0,0,0,0,0,91.4,41.6,120.0,31.0,0.0,1
72,26,1.488752,3,23.0,93.0,40.0,87.0,0,0,0,0,0,92.5,58.3,120.0,32.9,0.0,0
77,23,1.255483,3,22.0,93.0,38.0,62.0,0,0,0,0,0,96.5,49.4,120.0,45.1,0.0,0
80,50,0.680986,1,6.0,93.0,38.0,87.0,1,0,0,0,0,111.8,31.3,120.0,40.9,1.0,1
86,12,1.01196,1,9.0,91.0,40.0,87.0,0,0,0,0,0,101.0,47.2,120.0,46.1,0.0,1
89,2,0.320252,8,9.0,94.0,40.0,87.0,1,0,0,0,0,109.4,28.0,112.8,47.0,0.0,1
89,3,0.891098,8,24.0,90.0,37.0,87.0,0,0,0,0,0,112.2,48.5,120.0,32.0,0.0,0
92,5,0.473239,5,24.0,93.0,40.0,88.0,0,0,0,0,0,108.1,40.1,120.0,43.1,1.0,0
11,54,0.750514,3,3.0,91.0,38.0,87.0,1,0,0,0,0,107.5,29.7,120.0,36.5,1.0,0
16,26,0.753255,1,24.0,93.0,40.0,87.0,1,0,0,0,0,99.4,50.9,109.8,46.0,0.0,1
35,5,1.232881,2,3.0,93.0,37.0,87.0,0,0,0,1,1,112.8,46.7,120.0,34.5,0.0,1
40,51,0.271398,2,3.0,91.0,40.0,87.0,0,0,0,0,0,113.1,35.4,117.2,36.4,0.0,0
41,57,1.364274,2,10.0,93.0,37.0,87.0,0,0,0,1,1,112.4,38.0,120.0,38.8,0.0,1
53,2,1.317323,2,12.0,91.0,38.0,87.0,1,0,0,0,0,105.4,34.7,118.8,36.6,0.0,1
57,0,2.374076,4,21.0,93.0,37.0,87.0,0,0,0,0,0,111.0,31.5,116.9,56.7,0.0,1
58,32,0.511722,6,12.0,93.0,40.0,87.0,0,0,0,0,0,109.0,53.1,120.0,44.6,0.0,1
59,29,0.795165,7,17.0,93.0,38.0,87.0,0,0,0,0,1,97.8,43.6,117.1,40.9,0.0,1
59,52,0.307989,1,6.0,93.0,38.0,87.0,0,0,1,0,0,112.1,25.9,118.5,35.3,0.0,1
