minute,second,possession,duration,type_name,possession_team_name,play_pattern,play_pattern_name,team,team_name,player_name,position,position_name,shot_technique,shot_technique_name,shot_body_part,shot_body_part_name,shot_type,shot_type_name,shot_outcome,shot_outcome_name,shot_first_time,shot_open_goal,shot_one_on_one,shot_key_pass,shot_aerial_won,under_pressure,start_x,start_y,end_x,end_y
15,52,29,0.935009,Shot,Croatia,2,From Corner,785,Croatia,Dejan Lovren,3.0,Right Center Back,93.0,Normal,37.0,Head,87.0,Open Play,0.0,Off T,0.0,0.0,0.0,1,1.0,1.0,115.0,27.7,120.0,33.5
24,35,45,1.145676,Shot,Argentina,4,From Throw In,779,Argentina,Enzo Fernandez,11.0,Left Defensive Midfield,93.0,Normal,40.0,Right Foot,87.0,Open Play,0.0,Saved,0.0,0.0,0.0,1,0.0,0.0,93.1,36.9,118.5,42.9
30,33,52,1.630258,Shot,Croatia,4,From Throw In,785,Croatia,Ivan Perišić,21.0,Left Wing,92.0,Lob,40.0,Right Foot,87.0,Open Play,0.0,Off T,0.0,0.0,0.0,1,0.0,0.0,106.9,23.2,120.0,38.9
33,27,54,0.450391,Shot,Argentina,5,Other,779,Argentina,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,93.0,Normal,38.0,Left Foot,88.0,Penalty,1.0,Goal,0.0,0.0,0.0,0,0.0,0.0,108.0,40.0,120.0,42.3
38,26,61,0.326927,Shot,Argentina,6,From Counter,779,Argentina,Julián Álvarez,24.0,Left Center Forward,95.0,Volley,40.0,Right Foot,87.0,Open Play,1.0,Goal,0.0,0.0,1.0,0,0.0,0.0,112.7,37.4,120.0,36.8
40,49,63,0.385615,Shot,Argentina,1,Regular Play,779,Argentina,Rodrigo Javier De Paul,12.0,Right Midfield,93.0,Normal,40.0,Right Foot,87.0,Open Play,0.0,Blocked,0.0,0.0,0.0,1,0.0,0.0,95.6,51.4,104.4,47.3
41,53,64,0.540362,Shot,Argentina,2,From Corner,779,Argentina,Alexis Mac Allister,16.0,Left Midfield,93.0,Normal,37.0,Head,87.0,Open Play,0.0,Saved,0.0,0.0,0.0,1,0.0,0.0,113.5,32.8,118.3,38.2
44,48,69,0.298525,Shot,Croatia,4,From Throw In,785,Croatia,Luka Modrić,13.0,Right Center Midfield,93.0,Normal,40.0,Right Foot,87.0,Open Play,0.0,Blocked,0.0,0.0,0.0,1,0.0,0.0,92.9,46.3,101.4,43.9
44,53,69,0.214249,Shot,Croatia,4,From Throw In,785,Croatia,Mario Pašalić,17.0,Right Wing,91.0,Half Volley,40.0,Right Foot,87.0,Open Play,0.0,Off T,1.0,0.0,0.0,0,0.0,0.0,119.4,45.8,120.0,45.0
48,26,84,1.274215,Shot,Argentina,1,Regular Play,779,Argentina,Leandro Daniel Paredes,9.0,Right Defensive Midfield,93.0,Normal,40.0,Right Foot,87.0,Open Play,0.0,Saved,0.0,0.0,0.0,1,0.0,0.0,85.0,44.8,117.6,40.9
57,5,102,0.426667,Shot,Argentina,1,Regular Play,779,Argentina,Lionel Andrés Messi Cuccittini,22.0,Right Center Forward,93.0,Normal,38.0,Left Foot,87.0,Open Play,0.0,Saved,0.0,0.0,0.0,1,0.0,1.0,112.7,30.1,117.5,34.5
57,35,104,0.118325,Shot,Croatia,3,From Free Kick,785,Croatia,Mislav Oršić,21.0,Left Wing,93.0,Normal,40.0,Right Foot,87.0,Open Play,0.0,Blocked,0.0,0.0,0.0,1,0.0,0.0,98.4,22.8,101.0,24.6
61,47,111,0.184782,Shot,Croatia,3,From Free Kick,785,Croatia,Dejan Lovren,3.0,Right Center Back,93.0,Normal,37.0,Head,87.0,Open Play,0.0,Blocked,0.0,0.0,0.0,1,1.0,1.0,112.7,40.1,113.3,40.4
68,46,127,0.554719,Shot,Argentina,4,From Throw In,779,Argentina,Julián Álvarez,24.0,Left Center Forward,93.0,Normal,40.0,Right Foot,87.0,Open Play,1.0,Goal,1.0,0.0,0.0,1,0.0,0.0,113.3,45.4,120.0,40.3
72,14,129,1.049396,Shot,Croatia,3,From Free Kick,785,Croatia,Ivan Perišić,6.0,Left Back,93.0,Normal,38.0,Left Foot,62.0,Free Kick,0.0,Saved,0.0,0.0,0.0,0,0.0,0.0,82.3,43.9,118.2,43.0
74,54,134,1.22653,Shot,Croatia,4,From Throw In,785,Croatia,Ivan Perišić,6.0,Left Back,93.0,Normal,38.0,Left Foot,87.0,Open Play,0.0,Off T,0.0,0.0,0.0,1,0.0,0.0,85.8,21.3,120.0,39.2
77,39,138,1.411106,Shot,Croatia,1,Regular Play,785,Croatia,Mislav Oršić,21.0,Left Wing,93.0,Normal,40.0,Right Foot,87.0,Open Play,0.0,Off T,0.0,0.0,0.0,1,0.0,0.0,108.0,21.9,120.0,46.7
82,12,145,0.7015,Shot,Argentina,3,From Free Kick,779,Argentina,Alexis Mac Allister,15.0,Left Center Midfield,95.0,Volley,40.0,Right Foot,87.0,Open Play,0.0,Off T,1.0,0.0,0.0,1,0.0,0.0,107.1,46.7,120.0,44.6
88,23,157,1.051285,Shot,Croatia,4,From Throw In,785,Croatia,Lovro Majer,9.0,Right Defensive Midfield,91.0,Half Volley,38.0,Left Foot,87.0,Open Play,0.0,Saved,0.0,0.0,0.0,1,0.0,0.0,96.0,35.4,117.7,41.9
92,51,179,0.953431,Shot,Croatia,2,From Corner,785,Croatia,Nikola Vlašić,17.0,Right Wing,93.0,Normal,38.0,Left Foot,87.0,Open Play,0.0,Off T,0.0,0.0,0.0,1,0.0,0.0,103.6,52.3,120.0,30.8
94,53,184,1.062937,Shot,Croatia,1,Regular Play,785,Croatia,Dejan Lovren,3.0,Right Center Back,93.0,Normal,38.0,Left Foot,87.0,Open Play,0.0,Off T,0.0,0.0,0.0,1,0.0,0.0,89.3,36.5,120.0,40.2
